stop_id,stop_name,latitude,longitude
2238447186,Les Hpitaux,37.16436926,6.276219485
2238483722,Gare Oasis,37.13579787,6.270691069
2238483732,Abdelmoumen,37.15388247,6.275319031
2238568797,Gare Casa Sud,37.12188432,6.252793627
2238568803,Gare Casa Sud,37.12184636,6.252782327
2238613690,Beausjour,37.14671274,6.255000618
2238613698,Beausjour,37.14669162,6.255056506
2238635740,Riviera,37.15417001,6.265639552
2238635742,Riviera,37.15420372,6.265639016
2238747184,Rsidence Fady,37.13450513,6.343592768
2242811586,Terminus  Hay Salam,37.12507882,6.231977823
2243125110,Mati Bensaleh,37.15621042,6.291973283
2244969139,El Hank,37.18943641,6.248787986
2245014368,St-Vlodrome,37.17548128,6.256311619
2248652103,Sidi Moumen Terminus,37.17367969,6.390511809
2249521485,Anapec SM,37.16674378,6.351590807
2387487893,Prfecture Ain Chock,37.10124295,6.252245745
2422407726,Renault Qods,37.11489705,6.290867756
2422411466,Htel Ibis,37.11533607,6.263671522
2422411488,Htel Ibis,37.11518183,6.263385732
2428391495,Derb Foukara,37.14962517,6.292506481
2508393233,Ain Diab Plage,37.17190999,6.224103513
2585734365,Ct Police Bernoussi,37.19098703,6.373256644
2676240398,Terminus Riad El Oulfa 3,37.129541,6.202619275
2880504228,Rsidence El Baida Qods,37.20424235,6.402848367
2941139197,Centre de Sant SMJ,37.16551752,6.351056736
2951688088,Mekanssa,37.11236514,6.314663028
2956576622,Spcial Aluminium,37.12294869,6.220874326
2956576658,Jnane louz (Terminus),37.11074599,6.207326116
3049255889,Chefchaouni,37.21165485,6.381075779
3049351940,Noor City,37.16154949,6.363810064
3284828969,Caf Kyoto,37.11941944,6.300090046
3284898224,Clinique CNSS Inara,37.12097268,6.302800465
3424903239,Espace Sportif Yasmina,37.11956288,6.320657625
3484336100,Abdellah Ben Cherif,37.14827545,6.243492301
3484336101,Abdellah Ben Cherif,37.14825171,6.243475061
3484336121,Anfa Clubs,37.1432583,6.250327274
3484336128,Place Financire,37.14431158,6.24296439
3484336159,Anfa Park,37.14152669,6.246198771
3484336164,Anfa Park,37.14148073,6.246169748
3484336168,Anfa Clubs,37.14325744,6.250354674
3484336170,Place Financire,37.14429592,6.243005166
3519820897,Rsidence El Hadika,37.19129539,6.364404859
3525295871,Hmara,37.16111039,6.346342379
3528650437,Groupe 3 Hay Moulay Rachid,37.14887593,6.352705867
